train,test,lambda,training_mse,test_mse
2015a.csv,2015b.csv,0.000000,0.001129,0.001625
2016a.csv,2016b.csv,0.000000,0.000009,0.000012
2017a.csv,2017b.csv,0.000000,0.000007,0.000007
2018a.csv,2018b.csv,0.000000,0.015538,0.020349
2019a.csv,2019b.csv,0.000000,0.018468,0.031547
2020a.csv,2020b.csv,0.000000,0.000524,0.000657
2015a.csv,2015b.csv,0.010000,0.001130,0.001631
2016a.csv,2016b.csv,0.010000,0.000009,0.000012
2017a.csv,2017b.csv,0.010000,0.000007,0.000007
2018a.csv,2018b.csv,0.010000,0.015653,0.020191
2019a.csv,2019b.csv,0.010000,0.018558,0.032074
2020a.csv,2020b.csv,0.010000,0.000524,0.000655
2015a.csv,2015b.csv,0.020000,0.001132,0.001640
2016a.csv,2016b.csv,0.020000,0.000009,0.000013
2017a.csv,2017b.csv,0.020000,0.000007,0.000007
2018a.csv,2018b.csv,0.020000,0.015972,0.020405
2019a.csv,2019b.csv,0.020000,0.018813,0.032768
2020a.csv,2020b.csv,0.020000,0.000524,0.000653
2015a.csv,2015b.csv,0.030000,0.001136,0.001650
2016a.csv,2016b.csv,0.030000,0.000010,0.000013
2017a.csv,2017b.csv,0.030000,0.000006,0.000007
2018a.csv,2018b.csv,0.030000,0.016466,0.020923
2019a.csv,2019b.csv,0.030000,0.019213,0.033611
2020a.csv,2020b.csv,0.030000,0.000524,0.000652
2015a.csv,2015b.csv,0.040000,0.001142,0.001662
2016a.csv,2016b.csv,0.040000,0.000010,0.000013
2017a.csv,2017b.csv,0.040000,0.000006,0.000007
2018a.csv,2018b.csv,0.040000,0.017108,0.021692
2019a.csv,2019b.csv,0.040000,0.019742,0.034582
2020a.csv,2020b.csv,0.040000,0.000524,0.000650
2015a.csv,2015b.csv,0.050000,0.001149,0.001676
2016a.csv,2016b.csv,0.050000,0.000010,0.000013
2017a.csv,2017b.csv,0.050000,0.000007,0.000007
2018a.csv,2018b.csv,0.050000,0.017876,0.022668
2019a.csv,2019b.csv,0.050000,0.020382,0.035663
2020a.csv,2020b.csv,0.050000,0.000524,0.000649
2015a.csv,2015b.csv,0.060000,0.001157,0.001692
2016a.csv,2016b.csv,0.060000,0.000010,0.000013
2017a.csv,2017b.csv,0.060000,0.000007,0.000007
2018a.csv,2018b.csv,0.060000,0.018753,0.023815
2019a.csv,2019b.csv,0.060000,0.021120,0.036840
2020a.csv,2020b.csv,0.060000,0.000525,0.000648
2015a.csv,2015b.csv,0.070000,0.001168,0.001710
2016a.csv,2016b.csv,0.070000,0.000010,0.000014
2017a.csv,2017b.csv,0.070000,0.000007,0.000007
2018a.csv,2018b.csv,0.070000,0.019723,0.025102
2019a.csv,2019b.csv,0.070000,0.021946,0.038099
2020a.csv,2020b.csv,0.070000,0.000525,0.000646
2015a.csv,2015b.csv,0.080000,0.000192,0.000234
2016a.csv,2016b.csv,0.080000,0.000010,0.000014
2017a.csv,2017b.csv,0.080000,0.000007,0.000008
2018a.csv,2018b.csv,0.080000,0.020774,0.026507
2019a.csv,2019b.csv,0.080000,0.022848,0.039429
2020a.csv,2020b.csv,0.080000,0.000525,0.000645
2015a.csv,2015b.csv,0.090000,0.000215,0.000263
2016a.csv,2016b.csv,0.090000,0.000010,0.000014
2017a.csv,2017b.csv,0.090000,0.000007,0.000008
2018a.csv,2018b.csv,0.090000,0.021891,0.028005
2019a.csv,2019b.csv,0.090000,0.023815,0.040817
2020a.csv,2020b.csv,0.090000,0.000526,0.000644
2015a.csv,2015b.csv,0.100000,0.000239,0.000293
2016a.csv,2016b.csv,0.100000,0.000001,0.000001
2017a.csv,2017b.csv,0.100000,0.000001,0.000002
2018a.csv,2018b.csv,0.100000,0.023069,0.029585
2019a.csv,2019b.csv,0.100000,0.024842,0.042258
2020a.csv,2020b.csv,0.100000,0.000526,0.000643
2015a.csv,2015b.csv,0.110000,0.000263,0.000324
2016a.csv,2016b.csv,0.110000,0.000001,0.000002
2017a.csv,2017b.csv,0.110000,0.000002,0.000002
2018a.csv,2018b.csv,0.110000,0.024297,0.031228
2019a.csv,2019b.csv,0.110000,0.025920,0.043744
2020a.csv,2020b.csv,0.110000,0.000527,0.000641
2015a.csv,2015b.csv,0.120000,0.000289,0.000357
2016a.csv,2016b.csv,0.120000,0.000002,0.000002
2017a.csv,2017b.csv,0.120000,0.000002,0.000002
2018a.csv,2018b.csv,0.120000,0.025569,0.032923
2019a.csv,2019b.csv,0.120000,0.027042,0.045264
2020a.csv,2020b.csv,0.120000,0.000527,0.000640
2015a.csv,2015b.csv,0.130000,0.000315,0.000391
2016a.csv,2016b.csv,0.130000,0.000002,0.000002
2017a.csv,2017b.csv,0.130000,0.000002,0.000002
2018a.csv,2018b.csv,0.130000,0.026876,0.034659
2019a.csv,2019b.csv,0.130000,0.028202,0.046815
2020a.csv,2020b.csv,0.130000,0.000528,0.000639
2015a.csv,2015b.csv,0.140000,0.000342,0.000426
2016a.csv,2016b.csv,0.140000,0.000002,0.000002
2017a.csv,2017b.csv,0.140000,0.000002,0.000003
2018a.csv,2018b.csv,0.140000,0.028217,0.036432
2019a.csv,2019b.csv,0.140000,0.029397,0.048393
2020a.csv,2020b.csv,0.140000,0.000529,0.000639
2015a.csv,2015b.csv,0.150000,0.000370,0.000463
2016a.csv,2016b.csv,0.150000,0.000002,0.000003
2017a.csv,2017b.csv,0.150000,0.000002,0.000003
2018a.csv,2018b.csv,0.150000,0.029585,0.038231
